%# iteration evaluations sigma idxmaxSD idxminSD SDs=sigma*sqrt(diag(C)) (randomSeed=1539328524313, Fri Oct 12 15:15:24 HKT 2018)

0 0 0.5 1 1 0.5 0.5 0.5 0.5 0.5 
1 8 0.4284786489940401 3 4 0.4204138174734166 0.4157195016084571 0.4206813135335442 0.41515527541243025 0.41303231530068263 
2 16 0.34391469536894376 1 2 0.3256937657869627 0.32448579861894855 0.3256146893980562 0.3249107125053096 0.31969063216902055 
3 24 0.31171402079408517 3 2 0.2873075760018145 0.2854740512494732 0.28979757841589415 0.28751993200152676 0.28886578832889687 
4 32 0.24579624622345161 1 2 0.22219470967771782 0.2201459832756262 0.22203140000369834 0.22027264468119126 0.22092115692769532 
5 40 0.23537892341706637 2 4 0.20927984772441618 0.21286277988858537 0.2068668849977421 0.20649132646719282 0.20891879689066287 
6 48 0.24272536005375112 1 3 0.22066581282153275 0.2177831351118795 0.20816903579994436 0.21159412682543577 0.21024043911081908 
7 56 0.2098333053338591 1 3 0.18638852078790002 0.18574089829480359 0.1765060539793407 0.17926755759903143 0.1751231916964791 
8 64 0.19073478405040115 2 3 0.16572575878617524 0.17096658329188685 0.15594292673196383 0.15908986540185974 0.1561000007210915 
9 72 0.16820871905021914 2 4 0.14354168766495962 0.14583724214515909 0.13903765652962458 0.1371992765461219 0.1353514468560605 
10 80 0.1628473043246991 2 4 0.1377829975607013 0.14199734158858937 0.13131311004785293 0.13079956471752768 0.13047362080384922 
11 88 0.1503791529546765 2 3 0.1249285208779909 0.13032083793558524 0.11885871044303553 0.11920681534498542 0.11999159248520208 
12 96 0.15318846036197378 2 4 0.12968313319296132 0.1345888899765482 0.12205805553161161 0.12039878122918765 0.12110619808116364 
13 104 0.14655275896194145 2 4 0.1220298762634616 0.13018559822519055 0.1160438364367981 0.11127753747348244 0.11184985291123357 
14 112 0.13185766720586922 2 4 0.11141019261722376 0.11451940665262839 0.10603083337550843 0.09916493545663865 0.1028614700163943 
15 120 0.12956794548346043 2 4 0.10983237290704716 0.11323470667045657 0.10140510167587274 0.09395545571919678 0.10113803103141517 
16 128 0.12689833472950895 2 4 0.1065501560906775 0.10994421054884242 0.09983509013323492 0.08992567906304305 0.09671092736528963 
17 136 0.12991442971376463 1 4 0.11182456819942808 0.11095526045405071 0.10202598619261709 0.09057809021019503 0.09594300308949258 
18 144 0.12343984566638318 1 4 0.10599793682555136 0.10498301715240922 0.09531696571182355 0.08540710273201073 0.0885790138701515 
19 152 0.12664390910889026 2 4 0.10624817386818176 0.10981895059690946 0.09700363584406109 0.08538194591854004 0.09045641436427221 
20 160 0.10964636996517496 2 4 0.08898513097947573 0.09245172906587039 0.08127777696793066 0.07141737714181902 0.07829836623517378 
21 168 0.10918467387585357 2 4 0.08898698961253533 0.09005215620550203 0.08126517128573787 0.06948548586051279 0.07723273255582844 
22 176 0.10959339931324268 1 4 0.0891114193042248 0.0874203647281689 0.08631746704386604 0.0686495270369859 0.07951723645117578 
23 184 0.13663618344360975 1 4 0.1269480154345051 0.10686566677136466 0.1042867575630977 0.08881231417586487 0.09618762274890343 
24 192 0.2437645076496855 1 4 0.22467326142942828 0.18944037550312734 0.18103507357936424 0.15472909646514135 0.16665277225838085 
25 200 0.25750839088436994 1 4 0.22968157099964215 0.19424324258211367 0.1853329375154444 0.16464171505729147 0.1827408911902801 
26 208 0.24325635655804595 1 4 0.22178137301576667 0.1779059932732671 0.17289610458478502 0.15083670997268242 0.16807435193522086 
27 216 0.22929146310859855 1 4 0.20415156624193379 0.1619337005076358 0.1628136379696114 0.13763706505570258 0.1541538701250568 
28 224 0.23158260973991926 1 4 0.20786511797306337 0.16851120936668978 0.15958068488046231 0.13530862849243996 0.15759918467045625 
29 232 0.2225195146643063 1 4 0.19503811264838916 0.15989123811324116 0.14967915659337896 0.12676112790289018 0.15543632462369272 
30 240 0.20197041504876795 1 4 0.1719531502516951 0.14248150434347162 0.13101873748363457 0.11514642369993291 0.1400902645559967 
31 248 0.20015369958076393 1 4 0.17499473960951908 0.14063423026413535 0.12744576529069426 0.11007409124387957 0.13919703692395358 
32 256 0.16720489726602372 1 4 0.14263101070400913 0.1200113232219085 0.1051019579108048 0.08946433091107374 0.1147506943260832 
33 264 0.16831653501816568 1 4 0.14112626846647341 0.1192155855196525 0.1032986887467655 0.08957590801480833 0.1170870287061484 
34 272 0.1814204240593265 1 4 0.14905664642128552 0.1286735073219859 0.1082330166258478 0.09491821959566787 0.1300942258202525 
35 280 0.18089809263886888 1 4 0.14565855263133426 0.12987560274000437 0.11751908251387891 0.09291050557876106 0.1311738778337228 
36 288 0.1537128989828324 1 4 0.12080207070515038 0.10659435589228596 0.10162619964398469 0.0783628708230725 0.10942594686168289 
