%# iteration evaluations sigma axisratio fitness_of(bestever best median worst) mindii idxmaxSD maxSD idxminSD minSD (randomSeed=1539499277815, Sun Oct 14 14:41:17 CST 2018)

1 8 0.4113852256891581 1.0 -0.6 -0.6 0.2 1.0 1.0 2 0.39986053172410724 4 0.3977501671623317
2 16 0.35590793637463 1.0245520505595558 -0.6 -0.6 -0.2 0.8 0.9614328130872399 2 0.343486904066053 4 0.332931999274071
3 24 0.30377871557939656 1.051962508384304 -0.6 -0.4 0.2 0.6 0.9268763046788957 2 0.28301261361068036 4 0.27541712737938046
4 32 0.25886547714209984 1.068542199159604 -0.6 -0.6 0.2 0.7 0.892687002441799 2 0.23710021851352137 4 0.2263644040808324
5 40 0.2240941658066755 1.0835219418770705 -0.6 -0.6 -0.2 0.6 0.8622895097372492 2 0.20365563237707618 4 0.1892398087085113
6 48 0.19911757941836614 1.1393522226354005 -0.8 -0.8 -0.2 1.0 0.8351662814977722 5 0.18023023565740062 4 0.1638378189392034
7 56 0.1755913417234308 1.1630670155312368 -0.8 -0.6 -0.2 -0.2 0.8040798306977229 5 0.15896772362622277 4 0.13954799756112504
8 64 0.15808789652515415 1.2132796651720683 -0.8 -0.6 0.0 0.8 0.7785302587485963 3 0.140981273661479 4 0.12190781316099669
9 72 0.13356272105112674 1.2064297329459057 -0.8 -0.6 -0.4 0.0 0.7636052089008994 3 0.11556333194896225 4 0.09938267762172698
10 80 0.12300959825790142 1.2077709331801652 -0.8 -0.8 -0.2 0.0 0.7365553272395976 3 0.10836722555357324 4 0.09086343100569282
11 88 0.1098768696882311 1.220150951585003 -0.8 -0.8 -0.6 0.2 0.7342827256286 3 0.09374976561404684 4 0.0783674287840551
12 96 0.10806184691279903 1.2386495315123258 -0.8 -0.8 -0.6 -0.2 0.7095646811484665 3 0.09502409203658242 4 0.07686583313049418
13 104 0.10510360726020149 1.2962649698237512 -0.8 -0.8 -0.2 0.0 0.6979313919856399 3 0.09086780094144856 4 0.0744373735021687
14 112 0.08676604090924601 1.3664439548118141 -0.8 -0.8 -0.6 -0.2 0.6995344927266907 5 0.07391661522594525 4 0.059768215005684
15 120 0.08101840407563955 1.375503573071184 -0.8 -0.8 -0.4 -0.2 0.6820010735882678 5 0.06743951092340657 4 0.05426480463286047
16 128 0.08119410388451834 1.419962346622872 -0.8 -0.8 -0.6 -0.2 0.6584908030661336 1 0.07194280666189924 4 0.05258187193352646
17 136 0.09465486529831595 1.5315843870839316 -0.8 -0.8 -0.6 0.0 0.6348234832558498 1 0.08950760671102764 4 0.05954848211639773
18 144 0.09036777522633511 1.7393886977969788 -1.0 -1.0 -0.6 -0.2 0.6127766469862117 1 0.08427706995784615 4 0.05548293590187328
19 152 0.08703074652592387 1.780187230871468 -1.0 -0.6 -0.4 0.0 0.5986206366373331 1 0.07846369494198825 4 0.05194180345356365
20 160 0.08903780124523951 1.7830614670460436 -1.0 -1.0 -0.6 -0.4 0.5785544775102249 1 0.08021903406686501 4 0.053843240366312814
21 168 0.0819436147388898 1.8501509726227723 -1.0 -0.8 -0.4 0.0 0.5772956478468346 2 0.07307292079463523 4 0.04847406034623452
22 176 0.08117183812565516 1.9312674006770423 -1.0 -0.8 -0.4 0.2 0.5625072174951161 2 0.07297197494950629 4 0.04646535201299019
23 184 0.0779809467723637 2.0375939919985453 -1.0 -0.8 -0.6 -0.2 0.5427889010265683 2 0.06842195699577451 4 0.046795646230066344
